Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Colombia;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;1.4;
Center Zone;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;1.57810272323255;
Guatemala;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;0.2;
Costa Rica;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;1;
Honduras;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;0.4;
Republica Dominicana;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;0.88;
Peru;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;1.5;
Ecuador;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;4.7;
Colombia;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;1.1;
Center Zone;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;40;
Guatemala;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;36.7;
Costa Rica;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;34.4;
Honduras;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;51.099999999999994;
Republica Dominicana;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;50.7;
Peru;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;55.199999999999996;
Ecuador;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;28.400000000000002;
Colombia;FMCG;Transactions Share %;Traditional Trade;MAT Q4.25;34;
Center Zone;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;43;
Guatemala;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;42.3;
Costa Rica;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;38.8;
Honduras;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;55.7;
Republica Dominicana;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;38.87;
Peru;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;56.6;
Ecuador;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;31.5;
Colombia;FMCG;Transactions Share %;Traditional Trade;MAT Q4.24;36.3;
Center Zone;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;7.29826071928255;
Guatemala;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;2.3;
Costa Rica;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;30.8;
Honduras;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;11.7;
Republica Dominicana;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;8.6;
Peru;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;1.8;
Ecuador;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;2.3;
Colombia;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;11.1;
Center Zone;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;7.50761822233799;
Guatemala;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;1.9;
Costa Rica;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;31.8;
Honduras;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;13;
Republica Dominicana;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;8.37;
Peru;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;1.7;
Ecuador;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;1.9;
Colombia;FMCG;Transactions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;11.9;
Center Zone;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;29.6780400917448;
Guatemala;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;34.2;
Costa Rica;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;2.7;
Honduras;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;39.4;
Republica Dominicana;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;41.5;
Peru;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;48.5;
Ecuador;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;25;
Colombia;FMCG;Transactions Share %;Traditional Store;MAT Q4.25;18.2;
Center Zone;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;30.8144989379855;
Guatemala;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;40.3;
Costa Rica;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;5.6;
Honduras;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;42.7;
Republica Dominicana;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;30.1;
Peru;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;49.3;
Ecuador;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;28;
Colombia;FMCG;Transactions Share %;Traditional Store;MAT Q4.24;17.1;
Center Zone;FMCG;Transactions Share %;Bakery;MAT Q4.25;3.20443486351589;
Guatemala;FMCG;Transactions Share %;Bakery;MAT Q4.25;0.2;
Costa Rica;FMCG;Transactions Share %;Bakery;MAT Q4.25;0.9;
Honduras;FMCG;Transactions Share %;Bakery;MAT Q4.25;0;
Republica Dominicana;FMCG;Transactions Share %;Bakery;MAT Q4.25;0.6;
Peru;FMCG;Transactions Share %;Bakery;MAT Q4.25;4.9;
Ecuador;FMCG;Transactions Share %;Bakery;MAT Q4.25;1.1;
Colombia;FMCG;Transactions Share %;Bakery;MAT Q4.25;4.7;
Center Zone;FMCG;Transactions Share %;Bakery;MAT Q4.24;4.53468969897735;
Guatemala;FMCG;Transactions Share %;Bakery;MAT Q4.24;0.1;
Costa Rica;FMCG;Transactions Share %;Bakery;MAT Q4.24;1.4;
Honduras;FMCG;Transactions Share %;Bakery;MAT Q4.24;0;
Republica Dominicana;FMCG;Transactions Share %;Bakery;MAT Q4.24;0.4;
Peru;FMCG;Transactions Share %;Bakery;MAT Q4.24;5.6;
Ecuador;FMCG;Transactions Share %;Bakery;MAT Q4.24;1.6;
Colombia;FMCG;Transactions Share %;Bakery;MAT Q4.24;7.3;
Center Zone;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0.147751680490973;
Guatemala;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0;
Costa Rica;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0;
Honduras;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0;
Republica Dominicana;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0.07;
Peru;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0.4;
