Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Guatemala;FMCG;Occasions Share %;Bakery;MAT Q4.25;0.2;
Costa Rica;FMCG;Occasions Share %;Bakery;MAT Q4.25;0.9;
Honduras;FMCG;Occasions Share %;Bakery;MAT Q4.25;0;
Republica Dominicana;FMCG;Occasions Share %;Bakery;MAT Q4.25;0.6;
Peru;FMCG;Occasions Share %;Bakery;MAT Q4.25;4.9;
Ecuador;FMCG;Occasions Share %;Bakery;MAT Q4.25;1.1;
Colombia;FMCG;Occasions Share %;Bakery;MAT Q4.25;4.7;
Guatemala;FMCG;Occasions Share %;Bakery;MAT Q4.24;0.1;
Costa Rica;FMCG;Occasions Share %;Bakery;MAT Q4.24;1.4;
Honduras;FMCG;Occasions Share %;Bakery;MAT Q4.24;0;
Republica Dominicana;FMCG;Occasions Share %;Bakery;MAT Q4.24;0.4;
Peru;FMCG;Occasions Share %;Bakery;MAT Q4.24;5.6;
Ecuador;FMCG;Occasions Share %;Bakery;MAT Q4.24;1.6;
Colombia;FMCG;Occasions Share %;Bakery;MAT Q4.24;7.3;
Guatemala;FMCG;Occasions Share %;E-commerce;MAT Q4.25;0;
Costa Rica;FMCG;Occasions Share %;E-commerce;MAT Q4.25;0;
Honduras;FMCG;Occasions Share %;E-commerce;MAT Q4.25;0;
Republica Dominicana;FMCG;Occasions Share %;E-commerce;MAT Q4.25;0.07;
Peru;FMCG;Occasions Share %;E-commerce;MAT Q4.25;0.4;
Ecuador;FMCG;Occasions Share %;E-commerce;MAT Q4.25;0;
Colombia;FMCG;Occasions Share %;E-commerce;MAT Q4.25;0.1;
Guatemala;FMCG;Occasions Share %;E-commerce;MAT Q4.24;0;
Costa Rica;FMCG;Occasions Share %;E-commerce;MAT Q4.24;0;
Honduras;FMCG;Occasions Share %;E-commerce;MAT Q4.24;0;
Republica Dominicana;FMCG;Occasions Share %;E-commerce;MAT Q4.24;0.14;
Peru;FMCG;Occasions Share %;E-commerce;MAT Q4.24;0.4;
Ecuador;FMCG;Occasions Share %;E-commerce;MAT Q4.24;0;
Colombia;FMCG;Occasions Share %;E-commerce;MAT Q4.24;0;
Guatemala;FMCG;Occasions Share %;Door To Door;MAT Q4.25;6.9;
Costa Rica;FMCG;Occasions Share %;Door To Door;MAT Q4.25;0.6;
Honduras;FMCG;Occasions Share %;Door To Door;MAT Q4.25;9.5;
Republica Dominicana;FMCG;Occasions Share %;Door To Door;MAT Q4.25;0.55;
Peru;FMCG;Occasions Share %;Door To Door;MAT Q4.25;1.9;
Ecuador;FMCG;Occasions Share %;Door To Door;MAT Q4.25;5.2;
Colombia;FMCG;Occasions Share %;Door To Door;MAT Q4.25;1.7;
Guatemala;FMCG;Occasions Share %;Door To Door;MAT Q4.24;7.3;
Costa Rica;FMCG;Occasions Share %;Door To Door;MAT Q4.24;0.6;
Honduras;FMCG;Occasions Share %;Door To Door;MAT Q4.24;12;
Republica Dominicana;FMCG;Occasions Share %;Door To Door;MAT Q4.24;0.71;
Peru;FMCG;Occasions Share %;Door To Door;MAT Q4.24;1.8;
Ecuador;FMCG;Occasions Share %;Door To Door;MAT Q4.24;7.7;
Colombia;FMCG;Occasions Share %;Door To Door;MAT Q4.24;1.4;
Guatemala;FMCG;Occasions Share %;Specialized Stores;MAT Q4.25;7.3;
Costa Rica;FMCG;Occasions Share %;Specialized Stores;MAT Q4.25;10.1;
Honduras;FMCG;Occasions Share %;Specialized Stores;MAT Q4.25;3.9;
Republica Dominicana;FMCG;Occasions Share %;Specialized Stores;MAT Q4.25;1.91;
Peru;FMCG;Occasions Share %;Specialized Stores;MAT Q4.25;0.2;
Ecuador;FMCG;Occasions Share %;Specialized Stores;MAT Q4.25;7.6;
Colombia;FMCG;Occasions Share %;Specialized Stores;MAT Q4.25;9.8;
Guatemala;FMCG;Occasions Share %;Specialized Stores;MAT Q4.24;8.8;
Costa Rica;FMCG;Occasions Share %;Specialized Stores;MAT Q4.24;11;
Honduras;FMCG;Occasions Share %;Specialized Stores;MAT Q4.24;4.9;
Republica Dominicana;FMCG;Occasions Share %;Specialized Stores;MAT Q4.24;2.87;
Peru;FMCG;Occasions Share %;Specialized Stores;MAT Q4.24;0.2;
Ecuador;FMCG;Occasions Share %;Specialized Stores;MAT Q4.24;8.5;
Colombia;FMCG;Occasions Share %;Specialized Stores;MAT Q4.24;12.2;
Guatemala;FMCG;Absolute Transactions;Total Market;MAT Q4.25;942350800;
Costa Rica;FMCG;Absolute Transactions;Total Market;MAT Q4.25;297058600;
Honduras;FMCG;Absolute Transactions;Total Market;MAT Q4.25;361028800;
Republica Dominicana;FMCG;Absolute Transactions;Total Market;MAT Q4.25;509112400;
Peru;FMCG;Absolute Transactions;Total Market;MAT Q4.25;2039442000;
Ecuador;FMCG;Absolute Transactions;Total Market;MAT Q4.25;1239227000;
Colombia;FMCG;Absolute Transactions;Total Market;MAT Q4.25;3440361000;
Guatemala;FMCG;Absolute Transactions;Total Market;MAT Q4.24;842959300;
Costa Rica;FMCG;Absolute Transactions;Total Market;MAT Q4.24;292591100;
Honduras;FMCG;Absolute Transactions;Total Market;MAT Q4.24;295472300;
Republica Dominicana;FMCG;Absolute Transactions;Total Market;MAT Q4.24;539490400;
Peru;FMCG;Absolute Transactions;Total Market;MAT Q4.24;2176388000;
Ecuador;FMCG;Absolute Transactions;Total Market;MAT Q4.24;1226229000;
Colombia;FMCG;Absolute Transactions;Total Market;MAT Q4.24;3398831000;
Guatemala;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.25;169628500;
Costa Rica;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.25;118024200;
Honduras;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.25;49602660;
Republica Dominicana;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.25;210323400;
Peru;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.25;219437700;
Ecuador;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.25;457313200;
Colombia;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.25;1396662840;
Guatemala;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.24;142511800;
Costa Rica;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.24;102678700;
Honduras;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.24;37389580;
Republica Dominicana;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.24;189806100;
Peru;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.24;190697600;
