Pais;Categoria;Subcategoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Republica Dominicana;TCCC;Water;Incidence vs FMCG;T. Channels;MAT Q4.25;0.46;
Colombia;NARTD;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.24;100;
Colombia;NARTD;Colas;Incidence vs FMCG;T. Channels;MAT Q4.24;3.6;
Colombia;NARTD;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.24;3.9;
Colombia;NARTD;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.24;2.6;
Colombia;NARTD;Water;Incidence vs FMCG;T. Channels;MAT Q4.24;3.8;
Colombia;NARTD;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.25;100;
Colombia;NARTD;Colas;Incidence vs FMCG;T. Channels;MAT Q4.25;3.5;
Colombia;NARTD;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.25;4.2;
Colombia;NARTD;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.25;2.8;
Colombia;NARTD;Water;Incidence vs FMCG;T. Channels;MAT Q4.25;4;
Colombia;TCCC;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.24;100;
Colombia;TCCC;Colas;Incidence vs FMCG;T. Channels;MAT Q4.24;2.9;
Colombia;TCCC;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.24;0.6;
Colombia;TCCC;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.24;0.5;
Colombia;TCCC;Water;Incidence vs FMCG;T. Channels;MAT Q4.24;0.6;
Colombia;TCCC;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.25;100;
Colombia;TCCC;Colas;Incidence vs FMCG;T. Channels;MAT Q4.25;2.9;
Colombia;TCCC;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.25;0.8;
Colombia;TCCC;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.25;0.5;
Colombia;TCCC;Water;Incidence vs FMCG;T. Channels;MAT Q4.25;0.6;
Ecuador;NARTD;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.24;100;
Ecuador;NARTD;Colas;Incidence vs FMCG;T. Channels;MAT Q4.24;33.7;
Ecuador;NARTD;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.24;14.2;
Ecuador;NARTD;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.24;13.5;
Ecuador;NARTD;Water;Incidence vs FMCG;T. Channels;MAT Q4.24;38;
Ecuador;NARTD;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.25;100;
Ecuador;NARTD;Colas;Incidence vs FMCG;T. Channels;MAT Q4.25;30.6;
Ecuador;NARTD;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.25;16.3;
Ecuador;NARTD;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.25;14.6;
Ecuador;NARTD;Water;Incidence vs FMCG;T. Channels;MAT Q4.25;37.7;
Ecuador;TCCC;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.24;100;
Ecuador;TCCC;Colas;Incidence vs FMCG;T. Channels;MAT Q4.24;69.9;
Ecuador;TCCC;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.24;17.5;
Ecuador;TCCC;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.24;4.9;
Ecuador;TCCC;Water;Incidence vs FMCG;T. Channels;MAT Q4.24;5.5;
Ecuador;TCCC;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.25;100;
Ecuador;TCCC;Colas;Incidence vs FMCG;T. Channels;MAT Q4.25;64.3;
Ecuador;TCCC;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.25;21.1;
Ecuador;TCCC;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.25;5.5;
Ecuador;TCCC;Water;Incidence vs FMCG;T. Channels;MAT Q4.25;8.2;
Peru;NARTD;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.24;100;
