Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Honduras;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;11.1;
Republica Dominicana;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;;
Republica Dominicana;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;5.28;
Republica Dominicana;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;6.85;
Colombia;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;4.445655989978566;
Colombia;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;4.386532399060665;
Colombia;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;4.184382968190089;
Peru;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;10.5;
Peru;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;10.9;
Peru;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;10.4;
Ecuador;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;8.2;
Ecuador;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;6.4;
Ecuador;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;6.2;
Center Zone;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;11.8716046517389;
Center Zone;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;10.9543480445143;
Center Zone;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;11.2952273938608;
Guatemala;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;14.4;
Guatemala;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;12.8;
Guatemala;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;11.3;
Costa Rica;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;13.1;
Costa Rica;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;13;
Costa Rica;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;12.7;
Honduras;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;41.2;
Honduras;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;41.8;
Honduras;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;45.8;
Republica Dominicana;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;;
Republica Dominicana;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;5.51;
Republica Dominicana;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;7.08;
Colombia;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;5.7;
Colombia;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;6.1;
Colombia;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;6.3;
Peru;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;10.6;
Peru;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;9.6;
Peru;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;10.3;
Ecuador;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-23;19.4;
Ecuador;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-24;19.6;
Ecuador;TCCC;Incidence vs FMCG;Traditional Trade;MAT Q4-25;15.7;
